--- 2D FFT Log Data (Range-Doppler Map) ---
RADAR_ANT_COUNT: 2
DOPPLER_POINTS: 64
RANGE_BINS_LOG: 20
-------------------------------------------

=== Antenna 0 Results ===
--- Ant 0 / Range Bin 0 Doppler FFT Results ---
  Doppler Bin 32: R=11142.08, I=-2275.28, Magnitude=11372.02
  Doppler Bin 33: R=-18.64, I=-33.01, Magnitude=37.91
  Doppler Bin 34: R=14.60, I=-150.61, Magnitude=151.32
  Doppler Bin 35: R=-58.65, I=-17.58, Magnitude=61.23
  Doppler Bin 36: R=-112.28, I=17.10, Magnitude=113.58
  Doppler Bin 37: R=-161.40, I=28.40, Magnitude=163.88
  Doppler Bin 38: R=92.09, I=-196.06, Magnitude=216.61
  Doppler Bin 39: R=3.43, I=-17.39, Magnitude=17.73
  Doppler Bin 40: R=-222.72, I=46.17, Magnitude=227.46
  Doppler Bin 41: R=87.87, I=123.31, Magnitude=151.42
  Doppler Bin 42: R=-105.44, I=41.20, Magnitude=113.20
  Doppler Bin 43: R=-65.84, I=-32.89, Magnitude=73.60
  Doppler Bin 44: R=114.13, I=150.07, Magnitude=188.53
  Doppler Bin 45: R=147.38, I=-14.50, Magnitude=148.09
  Doppler Bin 46: R=121.99, I=-88.37, Magnitude=150.63
  Doppler Bin 47: R=-201.03, I=-62.70, Magnitude=210.58
  Doppler Bin 48: R=22.45, I=-17.30, Magnitude=28.34
  Doppler Bin 49: R=-250.09, I=-21.31, Magnitude=251.00
  Doppler Bin 50: R=21.06, I=187.74, Magnitude=188.91
  Doppler Bin 51: R=114.41, I=-133.73, Magnitude=175.99
  Doppler Bin 52: R=163.48, I=108.70, Magnitude=196.32
  Doppler Bin 53: R=45.47, I=52.39, Magnitude=69.37
  Doppler Bin 54: R=97.89, I=7.75, Magnitude=98.20
  Doppler Bin 55: R=-58.18, I=80.65, Magnitude=99.44
  Doppler Bin 56: R=-106.95, I=-130.08, Magnitude=168.40
  Doppler Bin 57: R=42.33, I=-10.89, Magnitude=43.71
  Doppler Bin 58: R=-173.93, I=97.82, Magnitude=199.55
  Doppler Bin 59: R=-166.43, I=-86.36, Magnitude=187.51
  Doppler Bin 60: R=-60.43, I=71.02, Magnitude=93.25
  Doppler Bin 61: R=143.07, I=17.18, Magnitude=144.10
