--- DC Removal Log Data (Post-Clutter Removal) ---
RADAR_ANT_COUNT: 2
RADAR_CHIRP_COUNT: 64
FFT Range Bins (Output): 64
-------------------------------------

--- Ant 0 / Chirp 0 FFT Results (Post-DC) ---
  Range Bin 57: R=-38.07, I=-87.44, Magnitude=95.37
  Range Bin 58: R=71.34, I=25.60, Magnitude=75.79
  Range Bin 59: R=-86.58, I=37.14, Magnitude=94.21
  Range Bin 60: R=43.60, I=-8.79, Magnitude=44.47
  Range Bin 61: R=-30.96, I=-13.89, Magnitude=33.93
  Range Bin 62: R=59.41, I=-1.74, Magnitude=59.44
  Range Bin 63: R=-110.01, I=-34.06, Magnitude=115.17

--- Ant 0 / Chirp 4 FFT Results (Post-DC) ---
  Range Bin 0: R=41.63, I=0.00, Magnitude=41.63
  Range Bin 1: R=5.75, I=18.07, Magnitude=18.97
  Range Bin 2: R=-51.37, I=18.52, Magnitude=54.61
  Range Bin 3: R=40.34, I=-65.83, Magnitude=77.21
  Range Bin 4: R=-8.45, I=71.19, Magnitude=71.69
  Range Bin 5: R=14.24, I=-39.66, Magnitude=42.14
  Range Bin 6: R=-14.54, I=16.49, Magnitude=21.98
  Range Bin 7: R=-18.45, I=2.44, Magnitude=18.61
  Range Bin 8: R=24.98, I=-10.00, Magnitude=26.90
  Range Bin 9: R=-7.61, I=16.72, Magnitude=18.37
  Range Bin 10: R=15.38, I=-13.10, Magnitude=20.20
  Range Bin 11: R=44.51, I=80.37, Magnitude=91.88
  Range Bin 12: R=-106.92, I=-127.44, Magnitude=166.35
  Range Bin 13: R=60.21, I=74.59, Magnitude=95.86
  Range Bin 14: R=6.66, I=13.72, Magnitude=15.25
  Range Bin 15: R=-15.34, I=-32.86, Magnitude=36.27
  Range Bin 16: R=-13.95, I=-2.57, Magnitude=14.19
  Range Bin 17: R=7.54, I=8.12, Magnitude=11.08
  Range Bin 18: R=41.75, I=8.19, Magnitude=42.54
  Range Bin 19: R=1.36, I=-12.22, Magnitude=12.29
  Range Bin 20: R=-525.04, I=-271.64, Magnitude=591.15
  Range Bin 21: R=41.61, I=-116.91, Magnitude=124.09
  Range Bin 22: R=-107.92, I=92.45, Magnitude=142.11
  Range Bin 23: R=380.28, I=50.54, Magnitude=383.62
  Range Bin 24: R=-100.84, I=-318.48, Magnitude=334.06
  Range Bin 25: R=-6.25, I=266.73, Magnitude=266.80
  Range Bin 26: R=-108.73, I=3.97, Magnitude=108.80
  Range Bin 27: R=54.99, I=-43.13, Magnitude=69.88
  Range Bin 28: R=71.48, I=8.73, Magnitude=72.01
  Range Bin 29: R=-69.27, I=-51.47, Magnitude=86.29
  Range Bin 30: R=109.24, I=77.68, Magnitude=134.05
  Range Bin 31: R=-101.84, I=-23.52, Magnitude=104.52
  Range Bin 32: R=6.31, I=6.90, Magnitude=9.34
  Range Bin 33: R=102.20, I=-17.45, Magnitude=103.68
  Range Bin 34: R=-70.92, I=-18.20, Magnitude=73.21
  Range Bin 35: R=-44.30, I=81.37, Magnitude=92.65
  Range Bin 36: R=-5.30, I=-51.24, Magnitude=51.52
  Range Bin 37: R=202.26, I=-57.62, Magnitude=210.31
  Range Bin 38: R=-331.79, I=59.75, Magnitude=337.13
  Range Bin 39: R=90.03, I=59.80, Magnitude=108.08
  Range Bin 40: R=65.24, I=-161.93, Magnitude=174.58
  Range Bin 41: R=-53.87, I=120.83, Magnitude=132.30
  Range Bin 42: R=18.46, I=30.61, Magnitude=35.74
  Range Bin 43: R=37.61, I=-215.47, Magnitude=218.72
  Range Bin 44: R=6.26, I=363.85, Magnitude=363.90
  Range Bin 45: R=-155.93, I=-201.87, Magnitude=255.08
  Range Bin 46: R=137.70, I=-10.39, Magnitude=138.10
  Range Bin 47: R=-65.53, I=60.22, Magnitude=89.00
  Range Bin 48: R=46.03, I=-49.97, Magnitude=67.94
  Range Bin 49: R=43.32, I=40.94, Magnitude=59.61
  Range Bin 50: R=-85.15, I=18.56, Magnitude=87.15
  Range Bin 51: R=35.64, I=-59.66, Magnitude=69.50
  Range Bin 52: R=-69.09, I=46.99, Magnitude=83.56
  Range Bin 53: R=64.41, I=-69.62, Magnitude=94.85
  Range Bin 54: R=-31.14, I=89.89, Magnitude=95.13
  Range Bin 55: R=1.47, I=-73.20, Magnitude=73.22
  Range Bin 56: R=43.97, I=54.36, Magnitude=69.91
  Range Bin 57: R=-70.19, I=-79.81, Magnitude=106.29
  Range Bin 58: R=33.28, I=83.22, Magnitude=89.62
  Range Bin 59: R=-23.22, I=-73.70, Magnitude=77.27
  Range Bin 60: R=45.26, I=43.50, Magnitude=62.77
  Range Bin 61: R=-22.36, I=-18.27, Magnitude=28.87
  Range Bin 62: R=-17.23, I=-1.29, Magnitude=17.28
  Range Bin 63: R=-72.25, I=-37.15, Magnitude=81.24

--- Ant 0 / Chirp 5 FFT Results (Post-DC) ---
  Range Bin 0: R=52.55, I=0.00, Magnitude=52.55
  Range Bin 1: R=11.42, I=-1.23, Magnitude=11.49
  Range Bin 2: R=-23.91, I=2.55, Magnitude=24.05
  Range Bin 3: R=-38.99, I=-26.53, Magnitude=47.16
  Range Bin 4: R=-8.04, I=38.29, Magnitude=39.12
  Range Bin 5: R=22.63, I=5.85, Magnitude=23.37
  Range Bin 6: R=-2.52, I=-24.32, Magnitude=24.45
  Range Bin 7: R=-5.17, I=-11.40, Magnitude=12.52
  Range Bin 8: R=4.84, I=-36.95, Magnitude=37.27
  Range Bin 9: R=-40.21, I=51.02, Magnitude=64.96
  Range Bin 10: R=51.75, I=29.88, Magnitude=59.76
  Range Bin 11: R=37.69, I=-6.00, Magnitude=38.17
